#queryIndex	queryItem	stringId	preferredName	annotation
146	MT3	9606.ENSP00000200691	MT3	Metallothionein-3; Binds heavy metals. Contains three zinc and three copper atoms per polypeptide chain and only a negligible amount of cadmium. Inhibits survival and neurite formation of cortical neurons in vitro; Metallothioneins
147	MTDH	9606.ENSP00000338235	MTDH	Protein LYRIC; Downregulates SLC1A2/EAAT2 promoter activity when expressed ectopically. Activates the nuclear factor kappa-B (NF- kappa-B) transcription factor. Promotes anchorage-independent growth of immortalized melanocytes and astrocytes which is a key component in tumor cell expansion. Promotes lung metastasis and also has an effect on bone and brain metastasis, possibly by enhancing the seeding of tumor cells to the target organ endothelium. Induces chemoresistance
148	MTMR14	9606.ENSP00000296003	MTMR14	Myotubularin-related protein 14; Lipid phosphatase which efficiently dephosphorylates phosphatidylinositol 3-phosphate (PtdIns3P) and PtdIns(3,5)P2; inactive toward PtdIns4P, PtdIns(3,4)P2, PtdIns(4,5)P2 and PtdIns(3,4,5)P3; Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
149	MTMR3	9606.ENSP00000384651	MTMR3	Myotubularin-related protein 3; Phosphatase that acts on lipids with a phosphoinositol headgroup. Has phosphatase activity towards phosphatidylinositol 3-phosphate and phosphatidylinositol 3,5-bisphosphate. May also dephosphorylate proteins phosphorylated on Ser, Thr, and Tyr residues; Myotubularins
150	MTOR	9606.ENSP00000354558	MTOR	Serine/threonine-protein kinase mTOR; Serine/threonine protein kinase which is a central regulator of cellular metabolism, growth and survival in response to hormones, growth factors, nutrients, energy and stress signals. MTOR directly or indirectly regulates the phosphorylation of at least 800 proteins. Functions as part of 2 structurally and functionally distinct signaling complexes mTORC1 and mTORC2 (mTOR complex 1 and 2). Activated mTORC1 up-regulates protein synthesis by phosphorylating key regulators of mRNA translation and ribosome synthesis. This includes phosphorylation of EIF [...] 
151	NAMPT	9606.ENSP00000222553	NAMPT	Nicotinamide phosphoribosyltransferase; Catalyzes the condensation of nicotinamide with 5- phosphoribosyl-1-pyrophosphate to yield nicotinamide mononucleotide, an intermediate in the biosynthesis of NAD. It is the rate limiting component in the mammalian NAD biosynthesis pathway. The secreted form behaves both as a cytokine with immunomodulating properties and an adipokine with anti-diabetic properties, it has no enzymatic activity, partly because of lack of activation by ATP, which has a low level in extracellular space and plasma. Plays a role in the modulation of circadian clock fun [...] 
152	NBR1	9606.ENSP00000411250	NBR1	Next to BRCA1 gene 1 protein; Acts probably as a receptor for selective autophagosomal degradation of ubiquitinated targets; Zinc fingers ZZ-type
153	NEDD4	9606.ENSP00000424827	NEDD4	E3 ubiquitin-protein ligase NEDD4; E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. Specifically ubiquitinates 'Lys-63' in target proteins. Involved in the pathway leading to the degradation of VEGFR-2/KDFR, independently of its ubiquitin-ligase activity. Monoubiquitinates IGF1R at multiple sites, thus leading to receptor internalization and degradation in lysosomes. Ubiquitinates FGFR1, leading to receptor internalization and degradation in lysosomes. [...] 
154	NHLRC1	9606.ENSP00000345464	NHLRC1	E3 ubiquitin-protein ligase NHLRC1; E3 ubiquitin-protein ligase. Together with the phosphatase EPM2A/laforin, appears to be involved in the clearance of toxic polyglucosan and protein aggregates via multiple pathways. In complex with EPM2A/laforin and HSP70, suppresses the cellular toxicity of misfolded proteins by promoting their degradation through the ubiquitin-proteasome system (UPS). Ubiquitinates the glycogen-targeting protein phosphatase subunits PPP1R3C/PTG and PPP1R3D in a laforin-dependent manner and targets them for proteasome-dependent degradation, thus decreasing glycogen  [...] 
155	NPC1	9606.ENSP00000269228	NPC1	Niemann-Pick C1 protein; Intracellular cholesterol transporter which acts in concert with NPC2 and plays an important role in the egress of cholesterol from the endosomal/lysosomal compartment. Both NPC1 and NPC2 function as the cellular 'tag team duo' (TTD) to catalyze the mobilization of cholesterol within the multivesicular environment of the late endosome (LE) to effect egress through the limiting bilayer of the LE. NPC2 binds unesterified cholesterol that has been released from LDLs in the lumen of the late endosomes/lysosomes and transfers it to the cholesterol-binding pocket of  [...] 
156	NPRL2	9606.ENSP00000232501	NPRL2	GATOR complex protein NPRL2; As a component of the GATOR1 complex functions as an inhibitor of the amino acid-sensing branch of the TORC1 pathway. The GATOR1 complex strongly increases GTP hydrolysis by RRAGA and RRAGB within RRAGC-containing heterodimers, thereby deactivating RRAGs, releasing mTORC1 from lysosomal surface and inhibiting mTORC1 signaling. The GATOR1 complex is negatively regulated by GATOR2 the other GATOR subcomplex in this amino acid-sensing branch of the TORC1 pathway; Belongs to the NPR2 family
157	NRBF2	9606.ENSP00000277746	NRBF2	Nuclear receptor-binding factor 2; May modulate transcriptional activation by target nuclear receptors. Can act as transcriptional activator (in vitro)
158	NRBP2	9606.ENSP00000414055	NRBP2	Nuclear receptor-binding protein 2; May regulate apoptosis of neural progenitor cells during their differentiation; Belongs to the protein kinase superfamily. Ser/Thr protein kinase family
159	NUPR1	9606.ENSP00000379003	NUPR1	Nuclear protein 1, transcriptional regulator
160	OPTN	9606.ENSP00000368022	OPTN	Optineurin; Plays an important role in the maintenance of the Golgi complex, in membrane trafficking, in exocytosis, through its interaction with myosin VI and Rab8. Links myosin VI to the Golgi complex and plays an important role in Golgi ribbon formation. Plays a role in the activation of innate immune response during viral infection. Mechanistically, recruits TBK1 at the Golgi apparatus, promoting its trans-phosphorylation after RLR or TLR3 stimulation. In turn, activated TBK1 phosphorylates its downstream partner IRF3 to produce IFN-beta. Plays a neuroprotective role in the eye and [...] 
161	OSBPL7	9606.ENSP00000007414	OSBPL7	Oxysterol-binding protein-related protein 7; Pleckstrin homology domain containing; Belongs to the OSBP family
162	PAFAH1B2	9606.ENSP00000435289	PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit beta; Inactivates PAF by removing the acetyl group at the sn-2 position. This is a catalytic subunit
163	PARK7	9606.ENSP00000418770	PARK7	Protein/nucleic acid deglycase DJ-1; Protein and nucleotide deglycase that catalyzes the deglycation of the Maillard adducts formed between amino groups of proteins or nucleotides and reactive carbonyl groups of glyoxals. Thus, functions as a protein deglycase that repairs methylglyoxal- and glyoxal-glycated proteins, and releases repaired proteins and lactate or glycolate, respectively. Deglycates cysteine, arginine and lysine residues in proteins, and thus reactivates these proteins by reversing glycation by glyoxals. Acts on early glycation intermediates (hemithioacetals and aminoca [...] 
164	PHF23	9606.ENSP00000322579	PHF23	PHD finger protein 23; Acts as a negative regulator of autophagy, through promoting ubiquitination and degradation of LRSAM1, an E3 ubiquitin ligase that promotes autophagy in response to starvation or infecting bacteria; PHD finger proteins
165	PIK3C2A	9606.ENSP00000265970	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha; Generates phosphatidylinositol 3-phosphate (PtdIns3P) and phosphatidylinositol 3,4-bisphosphate (PtdIns(3,4)P2) that act as second messengers. Has a role in several intracellular trafficking events. Functions in insulin signaling and secretion. Required for translocation of the glucose transporter SLC2A4/GLUT4 to the plasma membrane and glucose uptake in response to insulin- mediated RHOQ activation. Regulates insulin secretion through two different mechanisms: involved in glucose-induced insulin secretion do [...] 
166	PIK3C3	9606.ENSP00000262039	PIK3C3	Phosphatidylinositol 3-kinase catalytic subunit type 3; Catalytic subunit of the PI3K complex that mediates formation of phosphatidylinositol 3-phosphate; different complex forms are believed to play a role in multiple membrane trafficking pathways: PI3KC3-C1 is involved in initiation of autophagosomes and PI3KC3-C2 in maturation of autophagosomes and endocytosis. Involved in regulation of degradative endocytic trafficking and required for the abcission step in cytokinesis, probably in the context of PI3KC3-C2. Involved in the transport of lysosomal enzyme precursors to lysosomes. Requ [...] 
167	PIK3CA	9606.ENSP00000263967	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4- phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5- bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Participates in cellular signaling in response to [...] 
168	PIK3CB	9606.ENSP00000289153	PIK3CB	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform; Phosphoinositide-3-kinase (PI3K) that phosphorylates PtdIns (Phosphatidylinositol), PtdIns4P (Phosphatidylinositol 4- phosphate) and PtdIns(4,5)P2 (Phosphatidylinositol 4,5- bisphosphate) to generate phosphatidylinositol 3,4,5-trisphosphate (PIP3). PIP3 plays a key role by recruiting PH domain-containing proteins to the membrane, including AKT1 and PDPK1, activating signaling cascades involved in cell growth, survival, proliferation, motility and morphology. Involved in the activation of AKT1 upon stimulatio [...] 
169	PIM2	9606.ENSP00000365692	PIM2	Serine/threonine-protein kinase pim-2; Proto-oncogene with serine/threonine kinase activity involved in cell survival and cell proliferation. Exerts its oncogenic activity through: the regulation of MYC transcriptional activity, the regulation of cell cycle progression, the regulation of cap-dependent protein translation and through survival signaling by phosphorylation of a pro-apoptotic protein, BAD. Phosphorylation of MYC leads to an increase of MYC protein stability and thereby an increase transcriptional activity. The stabilization of MYC exerted by PIM2 might explain partly the s [...] 
170	PINK1	9606.ENSP00000364204	PINK1	Serine/threonine-protein kinase PINK1, mitochondrial; Protects against mitochondrial dysfunction during cellular stress by phosphorylating mitochondrial proteins. Involved in the clearance of damaged mitochondria via selective autophagy (mitophagy) by mediating activation and translocation of PRKN. Targets PRKN to dysfunctional depolarized mitochondria through the phosphorylation of MFN2. Activates PRKN in 2 steps: (1) by mediating phosphorylation at 'Ser-65' of PRKN and (2) mediating phosphorylation of ubiquitin, converting PRKN to its fully-active form. Required for ubiquinone reduct [...] 
171	PIP4K2C	9606.ENSP00000347032	PIP4K2C	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma; May play an important role in the production of Phosphatidylinositol bisphosphate (PIP2), in the endoplasmic reticulum
172	PLAA	9606.ENSP00000380460	PLAA	Phospholipase A-2-activating protein; Plays a role in protein ubiquitination, sorting and degradation through its association with VCP. Involved in ubiquitin-mediated membrane proteins trafficking to late endosomes in an ESCRT-dependent manner, and hence plays a role in synaptic vesicle recycling (By similarity). May play a role in macroautophagy, regulating for instance the clearance of damaged lysosomes. Plays a role in cerebellar Purkinje cell development (By similarity). Positively regulates cytosolic and calcium-independent phospholipase A2 activities in a tumor necrosis factor al [...] 
173	PLEKHM1	9606.ENSP00000389913	PLEKHM1	Pleckstrin homology domain-containing family M member 1; Proposed to act as a multivalent adapter protein that regulates Rab7-dependent and HOPS complex-dependent fusion events in the endolysosomal system and couples autophagic and the endocytic trafficking pathways. Required for late stages of endolysosomal maturation, facilitating both endocytosis-mediated degradation of growth factor receptors and autophagosome clearance. Seems to be involved in the terminal maturation of autophagosomes and to mediate autophagosome-lysosome fusion. Positively regulates lysosome peripheral distributi [...] 
174	PLK3	9606.ENSP00000361275	PLK3	Serine/threonine-protein kinase PLK3; Serine/threonine-protein kinase involved in cell cycle regulation, response to stress and Golgi disassembly. Polo-like kinases act by binding and phosphorylating proteins are that already phosphorylated on a specific motif recognized by the POLO box domains. Phosphorylates ATF2, BCL2L1, CDC25A, CDC25C, CHEK2, HIF1A, JUN, p53/TP53, p73/TP73, PTEN, TOP2A and VRK1. Involved in cell cycle regulation: required for entry into S phase and cytokinesis. Phosphorylates BCL2L1, leading to regulate the G2 checkpoint and progression to cytokinesis during mitosi [...] 
175	PRKAA1	9606.ENSP00000346148	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1; Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts a [...] 
176	PRKAA2	9606.ENSP00000360290	PRKAA2	5'-AMP-activated protein kinase catalytic subunit alpha-2; Catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts a [...] 
177	PRKAB2	9606.ENSP00000254101	PRKAB2	5'-AMP-activated protein kinase subunit beta-2; Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a reg [...] 
178	PRKACA	9606.ENSP00000309591	PRKACA	cAMP-dependent protein kinase catalytic subunit alpha; Phosphorylates a large number of substrates in the cytoplasm and the nucleus. Regulates the abundance of compartmentalized pools of its regulatory subunits through phosphorylation of PJA2 which binds and ubiquitinates these subunits, leading to their subsequent proteolysis. Phosphorylates CDC25B, ABL1, NFKB1, CLDN3, PSMC5/RPT6, PJA2, RYR2, RORA and VASP. RORA is activated by phosphorylation. Required for glucose- mediated adipogenic differentiation increase and osteogenic differentiation inhibition from osteoblasts. Involved in the [...] 
179	PRKAG2	9606.ENSP00000287878	PRKAG2	5'-AMP-activated protein kinase subunit gamma-2; AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a  [...] 
180	PRKAG3	9606.ENSP00000397133	PRKAG3	5'-AMP-activated protein kinase subunit gamma-3; AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a  [...] 
181	PRKD1	9606.ENSP00000333568	PRKD1	Serine/threonine-protein kinase D1; Serine/threonine-protein kinase that converts transient diacylglycerol (DAG) signals into prolonged physiological effects downstream of PKC, and is involved in the regulation of MAPK8/JNK1 and Ras signaling, Golgi membrane integrity and trafficking, cell survival through NF-kappa-B activation, cell migration, cell differentiation by mediating HDAC7 nuclear export, cell proliferation via MAPK1/3 (ERK1/2) signaling, and plays a role in cardiac hypertrophy, VEGFA-induced angiogenesis, genotoxic-induced apoptosis and flagellin-stimulated inflammatory res [...] 
182	PRKN	9606.ENSP00000355865	PARK2	E3 ubiquitin-protein ligase parkin; Functions within a multiprotein E3 ubiquitin ligase complex, catalyzing the covalent attachment of ubiquitin moieties onto substrate proteins, such as BCL2, SYT11, CCNE1, GPR37, RHOT1/MIRO1, MFN1, MFN2, STUB1, SNCAIP, SEPT5, TOMM20, USP30, ZNF746 and AIMP2. Mediates monoubiquitination as well as 'Lys-6', 'Lys-11', 'Lys-48'-linked and 'Lys-63'-linked polyubiquitination of substrates depending on the context. Participates in the removal and/or detoxification of abnormally folded or damaged protein by mediating 'Lys-63'-linked polyubiquitination of misf [...] 
183	PSAP	9606.ENSP00000378394	PSAP	Prosaposin; Saposins are specific low-molecular mass non-enzymic proteins, they participate in the lysosomal degradation of sphingolipids, which takes place by the sequential action of specific hydrolases; Endogenous ligands
184	PTK2	9606.ENSP00000341189	PTK2	Focal adhesion kinase 1; Non-receptor protein-tyrosine kinase that plays an essential role in regulating cell migration, adhesion, spreading, reorganization of the actin cytoskeleton, formation and disassembly of focal adhesions and cell protrusions, cell cycle progression, cell proliferation and apoptosis. Required for early embryonic development and placenta development. Required for embryonic angiogenesis, normal cardiomyocyte migration and proliferation, and normal heart development. Regulates axon growth and neuronal cell migration, axon branching and synapse formation; required f [...] 
185	PYCARD	9606.ENSP00000247470	PYCARD	Apoptosis-associated speck-like protein containing a CARD; Functions as key mediator in apoptosis and inflammation. Promotes caspase-mediated apoptosis involving predominantly caspase-8 and also caspase-9 in a probable cell type-specific manner. Involved in activation of the mitochondrial apoptotic pathway, promotes caspase-8-dependent proteolytic maturation of BID independently of FADD in certain cell types and also mediates mitochondrial translocation of BAX and activates BAX-dependent apoptosis coupled to activation of caspase-9, -2 and -3. Involved in macrophage pyroptosis, a caspa [...] 
186	PIK3C2B	9606.ENSP00000356155	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta; Phosphorylates PtdIns and PtdIns4P with a preference for PtdIns. Does not phosphorylate PtdIns(4,5)P2. May be involved in EGF and PDGF signaling cascades; Belongs to the PI3/PI4-kinase family
187	PMP22	9606.ENSP00000484631	PMP22	Peripheral myelin protein 22; Might be involved in growth regulation, and in myelinization in the peripheral nervous system; Belongs to the PMP-22/EMP/MP20 family
188	PSEN1	9606.ENSP00000326366	PSEN1	Presenilin-1; Catalytic subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors and APP (amyloid-beta precursor protein). Requires the presence of the other members of the gamma-secretase complex for protease activity. Plays a role in Notch and Wnt signaling cascades and regulation of downstream processes via its role in processing key regulatory proteins, and by regulating cytosolic CTNNB1 levels. Stimulates cell-cell adhesion via its interaction with CDH1; this stabilizes the compl [...] 
189	QSOX1	9606.ENSP00000356574	QSOX1	Sulfhydryl oxidase 1; Catalyzes the oxidation of sulfhydryl groups in peptide and protein thiols to disulfides with the reduction of oxygen to hydrogen peroxide. May contribute to disulfide bond formation in a variety of secreted proteins. In fibroblasts, it may have tumor- suppressing capabilities being involved in growth regulation; Belongs to the quiescin-sulfhydryl oxidase (QSOX) family
190	RAB1A	9606.ENSP00000387286	RAB1A	Ras-related protein Rab-1A; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. RAB1A regulates vesicular protein transport from the endoplasmic reticulum (ER) to the Golgi compartment and on to the cell surface, and plays a role in IL-8 and growth hormone secreti [...] 
191	RAB24	9606.ENSP00000304376	RAB24	Ras-related protein Rab-24; May be involved in autophagy-related processes; Belongs to the small GTPase superfamily. Rab family
192	RAB39B	9606.ENSP00000358466	RAB39B	Ras-related protein Rab-39B; Small GTPases Rab involved in autophagy. The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. May regulate the homeostasis of SNCA/alpha-synuclein. Together with PICK1 proposed to ensure selectively GRIA2 exit from the endoplasmic retic [...] 
193	RB1CC1	9606.ENSP00000025008	RB1CC1	RB1-inducible coiled-coil protein 1; Involved in autophagy. Regulates early events but also late events of autophagosome formation through direct interaction with Atg16L1. Required for the formation of the autophagosome-like double-membrane structure that surrounds the Salmonella-containing vacuole (SCV) during S.typhimurium infection and subsequent xenophagy (By similarity). Involved in repair of DNA damage caused by ionizing radiation, which subsequently improves cell survival by decreasing apoptosis (By similarity). Inhibits PTK2/FAK1 and PTK2B/PYK2 kinase activity, affecting their  [...] 
194	RGS19	9606.ENSP00000378483	RGS19	Regulator of G-protein signaling 19; Inhibits signal transduction by increasing the GTPase activity of G protein alpha subunits thereby driving them into their inactive GDP-bound form. Binds to G-alpha subfamily 1 members, with the order G(i)a3 > G(i)a1 > G(o)a >> G(z)a/G(i)a2. Activity on G(z)-alpha is inhibited by phosphorylation and palmitoylation of the G-protein
195	RHEB	9606.ENSP00000262187	RHEB	GTP-binding protein Rheb; Activates the protein kinase activity of mTORC1, and thereby plays a role in the regulation of apoptosis. Stimulates the phosphorylation of S6K1 and EIF4EBP1 through activation of mTORC1 signaling. Has low intrinsic GTPase activity; RAS type GTPase family
196	RMC1	9606.ENSP00000269221	C18orf8	Uncharacterized protein C18orf8; Chromosome 18 open reading frame 8; Belongs to the Mic1 family
197	RNF152	9606.ENSP00000316628	RNF152	E3 ubiquitin-protein ligase RNF152; E3 ubiquitin-protein ligase mediating 'Lys-63'-linked polyubiquitination of RRAGA in response to amino acid starvation. Thereby, regulates mTORC1 signaling and plays a role in the cellular response to amino acid availability. Also mediates 'Lys-48'-linked polyubiquitination of target proteins and their subsequent targeting to the proteasome for degradation. Induces apoptosis when overexpressed; Ring finger proteins
198	RNF166	9606.ENSP00000326095	RNF166	Ring finger protein 166
199	RNF41	9606.ENSP00000342755	RNF41	E3 ubiquitin-protein ligase NRDP1; Acts as E3 ubiquitin-protein ligase and regulates the degradation of target proteins. Polyubiquitinates MYD88. Negatively regulates MYD88-dependent production of proinflammatory cytokines. Can promote TRIF-dependent production of type I interferon and inhibits infection with vesicular stomatitis virus (By similarity). Promotes also activation of TBK1 and IRF3. Involved in the ubiquitination of erythropoietin (EPO) and interleukin-3 (IL-3) receptors. Thus, through maintaining basal levels of cytokine receptors, RNF41 is involved in the control of hemat [...] 
200	RNF5	9606.ENSP00000364235	RNF5	E3 ubiquitin-protein ligase RNF5; Has E2-dependent E3 ubiquitin-protein ligase activity. May function together with E2 ubiquitin-conjugating enzymes UBE2D1/UBCH5A and UBE2D2/UBC4. Mediates ubiquitination of PXN/paxillin and Salmonella type III secreted protein sopA. May be involved in regulation of cell motility and localization of PXN/paxillin. Mediates the 'Lys-63'-linked polyubiquitination of JKAMP thereby regulating JKAMP function by decreasing its association with components of the proteasome and ERAD; the ubiquitination appears to involve E2 ubiquitin-conjugating enzyme UBE2N. Me [...] 
201	RRAGB	9606.ENSP00000262850	RRAGB	Ras-related GTP-binding protein B; Guanine nucleotide-binding protein that plays a crucial role in the cellular response to amino acid availability through regulation of the mTORC1 signaling cascade. Forms heterodimeric Rag complexes with RRAGC or RRAGD and cycles between an inactive GDP-bound and an active GTP-bound form. In its active form participates in the relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. Involved in the RCC1/Ran-GTPase pathway; Belongs to the GTR/RAG GTP-binding protein family
202	RRAGC	9606.ENSP00000362092	RRAGC	Ras-related GTP-binding protein C; Guanine nucleotide-binding protein forming heterodimeric Rag complexes required for the amino acid-induced relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. This is a crucial step in the activation of the TOR signaling cascade by amino acids
203	RRAGD	9606.ENSP00000358423	RRAGD	Ras-related GTP-binding protein D; Guanine nucleotide-binding protein forming heterodimeric Rag complexes required for the amino acid-induced relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. This is a crucial step in the activation of the TOR signaling cascade by amino acids
204	RUBCN	9606.ENSP00000296343	KIAA0226	Run domain Beclin-1-interacting and cysteine-rich domain-containing protein; Inhibits PIK3C3 activity; under basal conditions negatively regulates PI3K complex II (PI3KC3-C2) function in autophagy. Negatively regulates endosome maturation and degradative endocytic trafficking and impairs autophagosome maturation process. Can sequester UVRAG from association with a class C Vps complex (possibly the HOPS complex) and negatively regulates Rab7 activation
205	RETREG1	9606.ENSP00000304642	FAM134B	Reticulophagy regulator 1; Endoplasmic reticulum-anchored autophagy receptor that mediates ER delivery into lysosomes through sequestration into autophagosomes. Promotes membrane remodeling and ER scission via its membrane bending capacity and targets the fragments into autophagosomes via interaction with ATG8 family proteins. Required for long-term survival of nociceptive and autonomic ganglion neurons
206	RUBCNL	9606.ENSP00000396935	KIAA0226L	Protein RUBCNL-like; May act as a tumor suppressor
207	S100A8	9606.ENSP00000357722	S100A8	Protein S100-A8; S100A8 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. It can induce neutrophil chemotaxis and adhesion. Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions. The intracellular functions include: facilitating leukocyte arachidonic acid trafficking and metabolism, modulation of the tubulin-dependent cytoskeleton during migration of phagocytes and activation of the neutrophilic NADPH-oxidase. Activates NADPH- oxidase by facilitat [...] 
208	S100A9	9606.ENSP00000357727	S100A9	Protein S100-A9; S100A9 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. It can induce neutrophil chemotaxis, adhesion, can increase the bactericidal activity of neutrophils by promoting phagocytosis via activation of SYK, PI3K/AKT, and ERK1/2 and can induce degranulation of neutrophils by a MAPK-dependent mechanism. Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions. The intracellular functions include: facilitating leukocyte arachidonic acid [...] 
209	SCOC	9606.ENSP00000477352	SCOC	Short coiled-coil protein; Positive regulator of amino acid starvation-induced autophagy; Belongs to the SCOC family
210	SESN1	9606.ENSP00000393762	SESN1	Sestrin-1; Functions as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway through the GATOR complex. In absence of leucine, binds the GATOR subcomplex GATOR2 and prevents TORC1 signaling. Binding of leucine to SESN2 disrupts its interaction with GATOR2 thereby activating the TORC1 signaling pathway. This stress-inducible metabolic regulator may also play a role in protection against oxidative and genotoxic stresses (By similarity). May positively regulate the transcription by NFE2L2 of genes involved in the response to oxidative stress by facilitatin [...] 
211	SESN2	9606.ENSP00000253063	SESN2	Sestrin-2; Functions as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway through the GATOR complex. In absence of leucine, binds the GATOR subcomplex GATOR2 and prevents TORC1 signaling. Binding of leucine to SESN2 disrupts its interaction with GATOR2 thereby activating the TORC1 signaling pathway. This stress-inducible metabolic regulator also plays a role in protection against oxidative and genotoxic stresses. May negatively regulate protein translation in response to endoplasmic reticulum stress, via TORC1. May positively regulate the transcripti [...] 
212	SESN3	9606.ENSP00000441927	SESN3	Sestrin-3; May function as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway. May also regulate the insulin-receptor signaling pathway through activation of TORC2 (By similarity). This metabolic regulator may also play a role in protection against oxidative and genotoxic stresses (By similarity)
213	SH3BP4	9606.ENSP00000386862	SH3BP4	SH3 domain-binding protein 4; May function in transferrin receptor internalization at the plasma membrane through a cargo-specific control of clathrin- mediated endocytosis. Alternatively, may act as a negative regulator of the amino acid-induced TOR signaling by inhibiting the formation of active Rag GTPase complexes. Preferentially binds inactive Rag GTPase complexes and prevents their interaction with the mTORC1 complex inhibiting its relocalization to lysosomes and its activation. Thereby, may indirectly regulate cell growth, proliferation and autophagy
214	SH3GLB1	9606.ENSP00000479919	SH3GLB1	Endophilin-B1; May be required for normal outer mitochondrial membrane dynamics. Required for coatomer-mediated retrograde transport in certain cells (By similarity). May recruit other proteins to membranes with high curvature. May promote membrane fusion. Involved in activation of caspase-dependent apoptosis by promoting BAX/BAK1 activation. Isoform 1 acts proapoptotic in fibroblasts (By similarity). Involved in caspase-independent apoptosis during nutrition starvation and involved in the regulation of autophagy. Activates lipid kinase activity of PIK3C3 during autophagy probably by a [...] 
